No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
272862,1000001,,,,,,8.0,,6.0,,7.0,,1.0
272863,1000002,,,8.75,7.75,,,9.4,6.0,7.25,9.0,7.25,1.0
272864,1000003,,,8.75,7.25,,,6.0,6.5,4.75,8.8,8.25,1.0
272865,1000004,,,6.0,,,,8.2,,,7.0,,1.0
272866,1000005,7.25,9.25,,,7.42,5.75,9.2,7.5,,9.0,,1.0
272867,1000006,,,,,,,9.4,7.75,,7.8,,1.0
272868,1000007,5.0,8.25,,,5.33,2.75,4.4,7.0,,7.2,,1.0
272869,1000008,6.25,,,,,3.25,,3.0,,3.0,,1.0
272870,1000009,7.25,7.0,,,6.33,4.75,4.4,6.75,,7.4,,1.0
272871,1000010,,,4.75,5.08,,,4.6,6.5,5.5,8.0,5.0,1.0
272872,1000011,7.5,9.0,,,7.58,6.25,8.8,9.0,,8.4,,1.0
272873,1000012,4.25,,,,,3.5,,4.0,,1.4,,1.0
272874,1000013,,,5.75,6.17,,,7.6,6.75,5.0,8.4,7.75,1.0
272875,1000014,6.5,9.0,,,7.08,5.75,3.2,7.0,,2.6,,1.0
272876,1000015,,,4.0,5.0,,,7.2,6.75,7.75,8.0,3.25,1.0
272877,1000016,8.25,9.0,,,8.75,9.0,8.0,8.5,,9.0,,1.0
272878,1000017,2.5,7.25,,,5.25,6.0,4.4,5.75,,6.6,,1.0
272879,1000018,,,,,,4.75,,6.0,,4.0,,1.0
272880,1000019,,,7.75,6.83,,,6.4,6.0,4.75,7.8,8.0,1.0
272881,1000020,,,4.75,5.25,,,6.4,8.75,4.5,8.6,6.5,1.0
272882,1000021,,,6.75,5.42,,,7.0,7.0,4.0,8.8,5.5,1.0
272883,1000022,8.25,8.5,,,7.92,7.0,9.2,7.75,,8.8,,1.0
272884,1000023,5.75,8.0,,,5.42,2.5,5.0,7.0,,6.8,,1.0
272885,1000024,5.75,7.0,,,5.5,3.75,6.0,8.5,,7.8,,1.0
272886,1000025,8.0,7.75,,,6.83,4.75,6.0,6.5,,7.4,,1.0
272887,1000026,6.0,8.0,,,6.5,5.5,,7.5,,7.8,,1.0
272888,1000027,,,8.0,7.33,,,6.6,6.5,6.25,8.4,7.75,1.0
272889,1000028,,,4.5,5.67,,,6.4,8.0,3.75,8.8,8.75,1.0
272890,1000029,,,3.75,4.75,,,6.4,5.5,4.0,7.8,6.5,1.0
272891,1000030,6.5,8.75,,,6.33,3.75,4.0,6.25,,6.0,,1.0
272892,1000031,,,7.25,6.25,,,4.2,7.5,5.5,7.8,6.0,1.0
272893,1000032,,,,,,6.0,,5.5,,8.0,,1.0
272894,1000033,,,8.75,8.17,,,7.8,7.25,7.75,8.8,8.0,1.0
272895,1000034,6.5,8.25,,,6.67,5.25,7.6,8.5,,7.2,,1.0
272896,1000035,,,8.5,7.33,,,7.6,6.25,8.5,8.8,5.0,1.0
272897,1000036,8.25,9.5,,,8.42,7.5,9.0,8.5,,9.2,,1.0
