No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539538,2000001,7.0,7.25,,,6.67,5.75,5.2,6.25,,6.6,,2.0
539539,2000002,7.25,8.5,,,7.58,7.0,7.0,7.75,,8.2,,2.0
539540,2000003,7.75,8.25,,,6.92,4.75,6.0,6.75,,6.8,,2.0
539541,2000004,,,6.25,6.25,,,5.6,6.25,7.0,7.8,5.5,2.0
539542,2000005,,,6.25,6.17,,,8.2,6.5,5.5,6.4,6.75,2.0
539543,2000006,7.5,8.5,,,7.58,6.75,8.0,7.5,,6.8,,2.0
539544,2000007,,,7.25,6.67,,,6.4,8.25,5.25,8.4,7.5,2.0
539545,2000008,,,4.5,4.33,,,4.4,7.0,3.5,6.8,5.0,2.0
539546,2000009,8.25,8.75,,,7.92,6.75,8.4,8.0,,7.2,,2.0
539547,2000010,,,7.0,6.33,,,6.4,7.75,4.0,8.4,8.0,2.0
539548,2000011,6.5,8.5,,,7.08,6.25,5.2,7.75,,6.4,,2.0
539549,2000012,8.0,9.25,,,8.17,7.25,8.2,5.25,,8.0,,2.0
539550,2000013,,,7.75,7.08,,,5.8,5.75,5.75,8.4,7.75,2.0
539551,2000014,7.25,7.75,,,7.67,8.0,9.2,7.5,,8.4,,2.0
539552,2000015,,,6.75,6.08,,,8.6,6.75,5.25,8.2,6.25,2.0
539553,2000016,,,6.75,6.17,,,7.2,6.75,5.5,8.6,6.25,2.0
539554,2000017,,,7.25,7.42,,,8.8,6.75,7.75,8.6,7.25,2.0
539555,2000018,6.5,7.5,,,5.92,3.75,8.0,6.5,,8.0,,2.0
539556,2000019,,,8.25,7.33,,,7.2,4.5,7.75,8.2,6.0,2.0
539557,2000020,,,5.25,5.75,,,7.4,6.25,5.25,8.4,6.75,2.0
539558,2000021,,,8.5,6.67,,,7.0,6.25,5.5,7.4,6.0,2.0
539559,2000022,,,4.0,5.92,,,6.4,6.0,5.75,8.8,8.0,2.0
539560,2000023,,,6.0,5.58,,,4.8,6.5,5.0,7.4,5.75,2.0
539561,2000024,,,3.25,5.75,,,5.4,8.0,6.25,7.2,7.75,2.0
539562,2000025,7.25,7.5,,,6.83,5.75,8.4,8.0,,8.4,,2.0
539563,2000026,7.0,7.5,,,6.92,6.25,6.6,7.0,,8.2,,2.0
539564,2000027,,,8.5,6.58,,,6.4,7.0,5.0,7.6,6.25,2.0
539565,2000028,,,7.25,6.0,,,6.6,7.0,5.25,7.6,5.5,2.0
539566,2000029,,,8.25,7.67,,,7.0,5.25,7.5,7.8,7.25,2.0
539567,2000030,,,8.5,7.92,,,,7.5,7.5,8.2,7.75,2.0
539568,2000031,5.0,8.25,,,6.17,5.25,6.8,7.5,,7.8,,2.0
539569,2000032,7.75,8.0,,,6.92,5.0,7.6,8.0,,7.8,,2.0
539570,2000033,7.0,8.0,,,7.33,7.0,7.0,7.25,,8.4,,2.0
539571,2000034,,,7.25,5.92,,,,6.5,3.0,7.8,7.5,2.0
