,No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539538,539538,539539,7.0,7.25,,,6.67,5.75,5.2,6.25,,6.6,,2.0
539539,539539,539540,7.25,8.5,,,7.58,7.0,7.0,7.75,,8.2,,2.0
539540,539540,539541,7.75,8.25,,,6.92,4.75,6.0,6.75,,6.8,,2.0
539543,539543,539544,7.5,8.5,,,7.58,6.75,8.0,7.5,,6.8,,2.0
539546,539546,539547,8.25,8.75,,,7.92,6.75,8.4,8.0,,7.2,,2.0
539548,539548,539549,6.5,8.5,,,7.08,6.25,5.2,7.75,,6.4,,2.0
539549,539549,539550,8.0,9.25,,,8.17,7.25,8.2,5.25,,8.0,,2.0
539551,539551,539552,7.25,7.75,,,7.67,8.0,9.2,7.5,,8.4,,2.0
539555,539555,539556,6.5,7.5,,,5.92,3.75,8.0,6.5,,8.0,,2.0
539562,539562,539563,7.25,7.5,,,6.83,5.75,8.4,8.0,,8.4,,2.0
539563,539563,539564,7.0,7.5,,,6.92,6.25,6.6,7.0,,8.2,,2.0
539568,539568,539569,5.0,8.25,,,6.17,5.25,6.8,7.5,,7.8,,2.0
539569,539569,539570,7.75,8.0,,,6.92,5.0,7.6,8.0,,7.8,,2.0
539570,539570,539571,7.0,8.0,,,7.33,7.0,7.0,7.25,,8.4,,2.0
539572,539572,539573,7.0,7.25,,,6.08,4.0,5.0,5.5,,6.8,,2.0
539574,539574,539575,5.5,7.75,,,6.08,5.0,5.0,5.5,,7.2,,2.0
539575,539575,539576,7.5,7.5,,,7.42,7.25,6.8,7.0,,7.8,,2.0
539576,539576,539577,6.5,7.75,,,6.08,4.0,5.2,7.0,,7.2,,2.0
539585,539585,539586,4.75,6.75,,,5.33,4.5,6.2,7.0,,6.6,,2.0
539586,539586,539587,6.75,9.25,,,7.42,6.25,6.2,8.25,,7.8,,2.0
539588,539588,539589,6.0,7.0,,,5.58,3.75,7.4,7.25,,7.6,,2.0
539590,539590,539591,7.25,9.5,,,7.83,6.75,8.4,6.75,,6.8,,2.0
539594,539594,539595,6.0,8.0,,,6.83,6.5,6.2,6.5,,7.0,,2.0
539596,539596,539597,7.0,9.0,,,7.92,7.75,8.2,7.5,,8.4,,2.0
539598,539598,539599,5.5,6.25,,,4.83,2.75,4.0,6.75,,5.2,,2.0
539600,539600,539601,6.5,7.75,,,6.5,5.25,7.0,7.0,,6.2,,2.0
539607,539607,539608,6.5,8.5,,,6.5,4.5,5.6,6.0,,7.0,,2.0
539613,539613,539614,7.5,9.0,,,7.92,7.25,8.2,8.5,,8.2,,2.0
539615,539615,539616,8.25,8.5,,,7.5,5.75,7.0,7.0,,7.8,,2.0
539616,539616,539617,6.5,8.75,,,7.17,6.25,7.0,7.5,,7.4,,2.0
539617,539617,539618,6.0,7.5,,,5.75,3.75,5.8,5.5,,5.2,,2.0
539622,539622,539623,7.25,9.0,,,7.17,5.25,7.2,6.5,,7.8,,2.0
539624,539624,539625,8.0,9.0,,,7.75,6.25,7.8,7.0,,6.6,,2.0
539628,539628,539629,4.25,4.75,,,3.83,2.5,5.8,5.75,,4.8,,2.0
539635,539635,539636,6.25,8.0,,,6.58,5.5,6.4,5.75,,5.6,,2.0
539637,539637,539638,7.25,8.25,,,7.42,6.75,8.2,7.5,,8.2,,2.0
539640,539640,539641,6.75,8.0,,,7.42,7.5,7.6,6.5,,8.2,,2.0
539647,539647,539648,8.0,9.5,,,7.67,5.5,8.0,7.25,,7.8,,2.0
539649,539649,539650,8.25,8.75,,,7.83,6.5,7.6,6.75,,7.6,,2.0
539650,539650,539651,8.0,8.0,,,7.25,5.75,8.6,7.5,,6.8,,2.0
539651,539651,539652,6.75,8.5,,,6.92,5.5,6.6,7.0,,6.0,,2.0
539652,539652,539653,8.5,9.25,,,8.25,7.0,8.2,7.25,,8.2,,2.0
539655,539655,539656,7.5,7.5,,,7.67,8.0,5.4,7.0,,7.2,,2.0
539658,539658,539659,7.75,8.25,,,7.25,5.75,6.2,8.25,,5.6,,2.0
539660,539660,539661,7.25,8.0,,,6.75,5.0,9.6,6.75,,5.6,,2.0
539664,539664,539665,7.75,9.0,,,7.67,6.25,5.6,7.25,,7.2,,2.0
539666,539666,539667,6.5,8.75,,,7.08,6.0,4.0,6.5,,7.6,,2.0
539669,539669,539670,4.0,8.75,,,5.92,5.0,4.0,6.5,,5.0,,2.0
539672,539672,539673,6.5,7.25,,,6.67,6.25,8.2,6.75,,8.6,,2.0
539677,539677,539678,6.0,7.25,,,5.83,4.25,2.4,7.0,,6.0,,2.0
539679,539679,539680,7.0,9.0,,,7.42,6.25,6.2,7.25,,6.8,,2.0
539681,539681,539682,6.5,8.5,,,6.58,4.75,5.4,6.0,,5.6,,2.0
539688,539688,539689,6.5,7.0,,,5.42,2.75,5.4,6.75,,5.4,,2.0
539689,539689,539690,7.25,8.25,,,7.67,7.5,6.8,7.5,,7.4,,2.0
539690,539690,539691,6.75,7.25,,,6.58,5.75,9.4,7.5,,7.6,,2.0
539691,539691,539692,6.75,8.25,,,6.58,4.75,6.8,3.5,,6.2,,2.0
539705,539705,539706,6.0,9.25,,,6.83,5.25,8.6,8.0,,8.4,,2.0
539707,539707,539708,7.25,9.0,,,7.08,5.0,6.6,8.25,,8.4,,2.0
539709,539709,539710,7.25,7.0,,,6.33,4.75,5.6,7.25,,8.2,,2.0
539712,539712,539713,7.75,7.5,,,7.42,7.0,6.0,8.0,,8.2,,2.0
539714,539714,539715,7.0,8.5,,,7.67,7.5,7.2,7.0,,7.8,,2.0
539717,539717,539718,5.5,7.25,,,6.08,5.5,4.2,6.0,,7.0,,2.0
