,No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539541,539541,381012,,,6.25,6.25,,,5.6,6.25,7.0,7.8,5.5,2.0
539542,539542,381013,,,6.25,6.17,,,8.2,6.5,5.5,6.4,6.75,2.0
539544,539544,381015,,,7.25,6.67,,,6.4,8.25,5.25,8.4,7.5,2.0
539545,539545,381016,,,4.5,4.33,,,4.4,7.0,3.5,6.8,5.0,2.0
539547,539547,381018,,,7.0,6.33,,,6.4,7.75,4.0,8.4,8.0,2.0
539550,539550,381021,,,7.75,7.08,,,5.8,5.75,5.75,8.4,7.75,2.0
539552,539552,381023,,,6.75,6.08,,,8.6,6.75,5.25,8.2,6.25,2.0
539553,539553,381024,,,6.75,6.17,,,7.2,6.75,5.5,8.6,6.25,2.0
539554,539554,381025,,,7.25,7.42,,,8.8,6.75,7.75,8.6,7.25,2.0
539556,539556,381027,,,8.25,7.33,,,7.2,4.5,7.75,8.2,6.0,2.0
539557,539557,381028,,,5.25,5.75,,,7.4,6.25,5.25,8.4,6.75,2.0
539558,539558,381029,,,8.5,6.67,,,7.0,6.25,5.5,7.4,6.0,2.0
539559,539559,381030,,,4.0,5.92,,,6.4,6.0,5.75,8.8,8.0,2.0
539560,539560,381031,,,6.0,5.58,,,4.8,6.5,5.0,7.4,5.75,2.0
539561,539561,381032,,,3.25,5.75,,,5.4,8.0,6.25,7.2,7.75,2.0
539564,539564,381035,,,8.5,6.58,,,6.4,7.0,5.0,7.6,6.25,2.0
539565,539565,381036,,,7.25,6.0,,,6.6,7.0,5.25,7.6,5.5,2.0
539566,539566,381037,,,8.25,7.67,,,7.0,5.25,7.5,7.8,7.25,2.0
539567,539567,381038,,,8.5,7.92,,,,7.5,7.5,8.2,7.75,2.0
539571,539571,381042,,,7.25,5.92,,,,6.5,3.0,7.8,7.5,2.0
539573,539573,381044,,,7.25,7.17,,,7.4,6.0,6.75,7.6,7.5,2.0
539577,539577,381048,,,7.25,6.75,,,5.2,6.75,4.75,8.2,8.25,2.0
539578,539578,381049,,,7.0,6.67,,,7.4,6.75,5.75,6.8,7.25,2.0
539579,539579,381050,,,4.75,5.0,,,8.2,7.0,3.0,8.2,7.25,2.0
539580,539580,381051,,,7.0,5.83,,,6.8,7.25,3.25,7.4,7.25,2.0
539581,539581,381052,,,6.75,5.75,,,5.4,6.5,5.75,8.2,4.75,2.0
