,No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539538,539538,381009,7.0,7.25,,,6.67,5.75,5.2,6.25,,6.6,,2.0
539539,539539,381010,7.25,8.5,,,7.58,7.0,7.0,7.75,,8.2,,2.0
539540,539540,381011,7.75,8.25,,,6.92,4.75,6.0,6.75,,6.8,,2.0
539543,539543,381014,7.5,8.5,,,7.58,6.75,8.0,7.5,,6.8,,2.0
539546,539546,381017,8.25,8.75,,,7.92,6.75,8.4,8.0,,7.2,,2.0
539548,539548,381019,6.5,8.5,,,7.08,6.25,5.2,7.75,,6.4,,2.0
539549,539549,381020,8.0,9.25,,,8.17,7.25,8.2,5.25,,8.0,,2.0
539551,539551,381022,7.25,7.75,,,7.67,8.0,9.2,7.5,,8.4,,2.0
539555,539555,381026,6.5,7.5,,,5.92,3.75,8.0,6.5,,8.0,,2.0
539562,539562,381033,7.25,7.5,,,6.83,5.75,8.4,8.0,,8.4,,2.0
539563,539563,381034,7.0,7.5,,,6.92,6.25,6.6,7.0,,8.2,,2.0
539568,539568,381039,5.0,8.25,,,6.17,5.25,6.8,7.5,,7.8,,2.0
539569,539569,381040,7.75,8.0,,,6.92,5.0,7.6,8.0,,7.8,,2.0
539570,539570,381041,7.0,8.0,,,7.33,7.0,7.0,7.25,,8.4,,2.0
539572,539572,381043,7.0,7.25,,,6.08,4.0,5.0,5.5,,6.8,,2.0
539574,539574,381045,5.5,7.75,,,6.08,5.0,5.0,5.5,,7.2,,2.0
539575,539575,381046,7.5,7.5,,,7.42,7.25,6.8,7.0,,7.8,,2.0
539576,539576,381047,6.5,7.75,,,6.08,4.0,5.2,7.0,,7.2,,2.0
539585,539585,381056,4.75,6.75,,,5.33,4.5,6.2,7.0,,6.6,,2.0
539586,539586,381057,6.75,9.25,,,7.42,6.25,6.2,8.25,,7.8,,2.0
539588,539588,381059,6.0,7.0,,,5.58,3.75,7.4,7.25,,7.6,,2.0
539590,539590,381061,7.25,9.5,,,7.83,6.75,8.4,6.75,,6.8,,2.0
539594,539594,381065,6.0,8.0,,,6.83,6.5,6.2,6.5,,7.0,,2.0
539596,539596,381067,7.0,9.0,,,7.92,7.75,8.2,7.5,,8.4,,2.0
539598,539598,381069,5.5,6.25,,,4.83,2.75,4.0,6.75,,5.2,,2.0
