Code,Nguvan,Toan,Ngoaingu,Mon 1,Mon 2,Mon 3, TB ,Xep Loai,
2000001,6.25,6.6,5.2,5.75,7,7.25,6.34,TB,
2000002,7.75,8.2,7,7,7.25,8.5,7.62,K,
2000003,6.75,6.8,6,4.75,7.75,8.25,6.72,TB,
2000004,7.5,6.8,8,6.75,7.5,8.5,7.51,K,
2000005,8,7.2,8.4,6.75,8.25,8.75,7.89,K,
2000006,7.75,6.4,5.2,6.25,6.5,8.5,6.77,TB,
2000007,5.25,8,8.2,7.25,8,9.25,7.66,TB,
2000008,7.5,8.4,9.2,8,7.25,7.75,8.02,G,
2000009,6.5,8,8,3.75,6.5,7.5,6.71,TB,
2000010,8,8.4,8.4,5.75,7.25,7.5,7.55,TB,
2000011,7,8.2,6.6,6.25,7,7.5,7.09,K,
2000012,7.5,7.8,6.8,5.25,5,8.25,6.77,TB,
2000013,8,7.8,7.6,5,7.75,8,7.36,TB,
2000014,7.25,8.4,7,7,7,8,7.44,K,
2000015,5.5,6.8,5,4,7,7.25,5.93,TB,
2000016,5.5,7.2,5,5,5.5,7.75,5.99,TB,
2000017,7,7.8,6.8,7.25,7.5,7.5,7.31,K,
2000018,7,7.2,5.2,4,6.5,7.75,6.28,TB,
2000019,7,6.6,6.2,4.5,4.75,6.75,5.97,TB,
2000020,8.25,7.8,6.2,6.25,6.75,9.25,7.42,K,
2000021,7.25,7.6,7.4,3.75,6,7,6.5,TB,
2000022,6.75,6.8,8.4,6.75,7.25,9.5,7.58,K,
2000023,6.5,7,6.2,6.5,6,8,6.7,K,
2000024,7.5,8.4,8.2,7.75,7,9,7.98,K,
2000025,6.75,5.2,4,2.75,5.5,6.25,5.08,TB,
2000026,7,6.2,7,5.25,6.5,7.75,6.62,TB,
2000027,6,7,5.6,4.5,6.5,8.5,6.35,TB,
2000028,8.5,8.2,8.2,7.25,7.5,9,8.11,G,
2000029,7,7.8,7,5.75,8.25,8.5,7.38,TB,
2000030,7.5,7.4,7,6.25,6.5,8.75,7.23,K,
2000031,5.5,5.2,5.8,3.75,6,7.5,5.63,TB,
2000032,6.5,7.8,7.2,5.25,7.25,9,7.17,TB,
2000033,7,6.6,7.8,6.25,8,9,7.44,K,
2000034,5.75,4.8,5.8,2.5,4.25,4.75,4.64,0,
2000035,5.75,5.6,6.4,5.5,6.25,8,6.25,TB,
2000036,7.5,8.2,8.2,6.75,7.25,8.25,7.69,K,
2000037,6.5,8.2,7.6,7.5,6.75,8,7.43,K,
2000038,7.25,7.8,8,5.5,8,9.5,7.68,TB,
2000039,6.75,7.6,7.6,6.5,8.25,8.75,7.58,K,
2000040,7.5,6.8,8.6,5.75,8,8,7.44,TB,
2000041,7,6,6.6,5.5,6.75,8.5,6.73,TB,
2000042,7.25,8.2,8.2,7,8.5,9.25,8.07,G,
2000043,7,7.2,5.4,8,7.5,7.5,7.1,TB,
2000044,8.25,5.6,6.2,5.75,7.75,8.25,6.97,TB,
2000045,6.75,5.6,9.6,5,7.25,8,7.03,TB,
2000046,7.25,7.2,5.6,6.25,7.75,9,7.18,TB,
2000047,6.5,7.6,4,6,6.5,8.75,6.56,TB,
2000048,6.5,5,4,5,4,8.75,5.54,TB,
2000049,6.75,8.6,8.2,6.25,6.5,7.25,7.26,K,
2000050,7,6,2.4,4.25,6,7.25,5.48,TB,
2000051,7.25,6.8,6.2,6.25,7,9,7.08,K,
2000052,6,5.6,5.4,4.75,6.5,8.5,6.13,TB,
2000053,6.75,5.4,5.4,2.75,6.5,7,5.63,TB,
2000054,7.5,7.4,6.8,7.5,7.25,8.25,7.45,K,
2000055,7.5,7.6,9.4,5.75,6.75,7.25,7.38,TB,
2000056,3.5,6.2,6.8,4.75,6.75,8.25,6.04,TB,
2000057,8,8.4,8.6,5.25,6,9.25,7.58,TB,
2000058,8.25,8.4,6.6,5,7.25,9,7.42,TB,
2000059,7.25,8.2,5.6,4.75,7.25,7,6.68,TB,
2000060,8,8.2,6,7,7.75,7.5,7.41,K,
2000061,7,7.8,7.2,7.5,7,8.5,7.5,K,
2000062,6,7,4.2,5.5,5.5,7.25,5.91,TB,
2000063,7,7,7.8,6.5,7,7.5,7.13,K,
2000064,5.75,5.4,3.2,3.75,5.25,6.5,4.98,0,
2000065,7,7.4,9.2,8.25,7.25,8,7.85,K,
2000066,6.75,8,6.4,9.25,9,9.5,8.15,K,
2000067,7,7.6,6.2,3.5,6.75,7,6.34,TB,
2000068,6.75,9,8.8,7.5,7.25,8.25,7.93,K,
2000069,6,5.8,4.6,6.25,6,7,5.94,TB,
2000070,7,8,8.4,6.75,7.75,8.5,7.73,K,
2000071,9,8.6,6,9.25,8.75,8.75,8.39,K,
2000072,7.75,7.6,8.2,6.75,7.5,8.5,7.72,K,
2000073,7,6.4,7.2,5.5,8.25,9.25,7.27,TB,
2000074,6.25,7.2,8.8,9,8.25,9,8.08,TB,
2000075,6.75,5,2.2,4.75,5.5,7.25,5.24,TB,
2000076,6.75,8.4,7.4,8.5,8.25,9,8.05,K,
2000077,5.5,6,7.4,5.5,7,8.5,6.65,TB,
2000078,5.25,4.4,3.6,4.75,8.25,8,5.71,TB,
2000079,7.25,7.4,7,5.25,7.75,9,7.28,TB,
2000080,6,6.8,6.6,6,7.25,8.75,6.9,TB,
2000081,7.75,7.4,7.6,7.5,8,8.25,7.75,K,
2000082,6.25,8,7,6.25,5,8.75,6.88,TB,
2000083,8.25,8.2,6,7.5,7.5,7.75,7.53,K,
2000084,7.25,7,7.2,5,6,7.5,6.66,TB,
2000085,7.75,8.6,9.2,7.75,7.25,7,7.93,K,
2000086,8,7.2,7.6,4.75,7.75,8,7.22,TB,
2000087,8,8.2,8.4,7,7.25,8,7.81,K,
2000088,7.25,7.6,8.4,3.25,6.25,6.75,6.58,TB,
2000089,8,8.2,6.2,5.5,7.75,7.25,7.15,TB,
2000090,8.25,7.6,9.6,6.75,8.25,8.75,8.2,K,
2000091,7.5,8.2,5.4,5.5,7.5,8.75,7.14,TB,
2000092,7.5,8.4,7.8,5,6.75,8.25,7.28,TB,
2000093,4.25,6,4.8,3.75,6.25,8.5,5.59,TB,
2000094,7.75,6.4,7.2,5.75,6.5,8.25,6.98,TB,
2000095,5.5,7.6,4.2,4.25,7,8.25,6.13,TB,
2000096,5.5,6.4,5.6,4.25,6.5,7,5.88,TB,
2000097,6.75,6,6.2,7.25,8.25,9,7.24,K,
2000098,5.75,6.2,4.4,5,8,7.75,6.18,TB,
2000099,5.5,7.4,6.8,2.25,7.25,7.75,6.16,TB,
2000100,6.75,6.6,6.6,7.5,8,8.5,7.33,K,
2000101,5.5,6.8,3.2,5,6.75,7,5.71,TB,
2000102,5.75,5.4,3.2,3.5,7.75,6.25,5.31,TB,
2000103,7.25,8.2,4.8,6,6,8.75,6.83,TB,
2000104,6.5,6,6.8,4.5,6,7.75,6.26,TB,
2000105,5.75,7.8,4.8,6.75,8.25,8.5,6.98,TB,
2000106,7.75,8.2,7.8,4,6.25,7.5,6.92,TB,
2000107,7.75,8.4,8.8,7.75,8.25,8.25,8.2,G,
2000108,7.25,8.2,6.8,7.5,6.5,8.25,7.42,K,
2000109,5.75,4.6,4.6,3.25,6.75,7.25,5.37,TB,
2000110,8,5.4,5.4,8,8,9,7.3,TB,
2000111,6.5,6.8,4,6,8.5,8.5,6.72,TB,
2000112,7.75,8.2,7.8,4,7.25,8.5,7.25,TB,
2000113,4,5.8,4.6,4.75,7,6,5.36,TB,
2000114,6.25,6.2,5.8,5.5,7.25,8,6.5,TB,
2000115,3.75,6.4,4.4,3.5,4.25,7,4.88,0,
2000116,5.75,5.6,6.2,3.75,5.75,7.25,5.72,TB,
2000117,6.25,6.4,8.4,6.25,5.5,7.25,6.68,TB,
2000118,5.5,7.2,5.8,4.5,6.5,8,6.25,TB,
2000119,5.5,6.2,3,4.25,4.75,7.25,5.16,TB,
2000120,2,4.2,3.8,5,6.25,7,4.71,0,
2000121,7.25,7.8,6.4,6,7.25,7.75,7.08,K,
2000122,6,6,8,5.25,6,8.5,6.63,TB,
2000123,8.5,8.8,7.2,7.5,8.25,9.5,8.29,G,
2000124,7.5,6,6.6,6,7.75,9,7.14,K,
2000125,7,8,9.2,8.25,8.5,10,8.49,G,
2000126,6,6.6,5,5.25,7.75,9,6.6,TB,
2000127,8.25,7.6,6.8,4.25,6.75,8,6.94,TB,
2000128,7.75,7.6,5.6,6.25,5.75,8.75,6.95,TB,
2000129,7.75,7.8,6.6,4.5,6.75,7.25,6.78,TB,
2000130,8,8.8,8.2,6.25,6.75,8.5,7.75,K,
2000131,8,7.8,7,7,6.75,9.25,7.63,K,
2000132,8,7,7.4,5.5,6.25,8,7.03,TB,
2000133,7.5,8.4,7.8,6.25,7,8,7.49,K,
2000134,7,8,8,6,7.5,8.75,7.54,K,
2000135,7,8.2,6.2,4,7.25,8.75,6.9,TB,
2000136,7.5,7.6,6.2,6.5,7.5,9.25,7.43,K,
2000137,7.25,9.4,8,7,8.75,8.75,8.19,G,
2000138,6.5,7.6,3.2,3.5,5.5,6,5.38,TB,
2000139,7,7.4,7.4,5.5,5.25,7.75,6.72,TB,
2000140,6.75,7.4,5.6,4.25,7.75,8.75,6.75,TB,
2000141,7.25,6.4,7,6.75,6.5,9,7.15,K,
2000142,8,7.2,7.8,5,7.75,8.5,7.38,TB,
2000143,6.75,7.2,5.8,6,6.5,8.25,6.75,TB,
2000144,6.25,6.2,5.6,5,7,9,6.51,TB,
2000145,5,7.2,6,5,7.25,8,6.41,TB,
2000146,7.75,7.8,7.8,6.75,8.5,8.75,7.89,K,
2000147,8,7.2,8.8,4.75,6.75,8.5,7.33,TB,
2000148,7.75,8.2,9,7.75,7.25,8.5,8.08,G,
2000149,8,8.8,8.8,6.5,8,8.5,8.1,K,
2000150,8.25,8.6,7,7.25,7.75,8.75,7.93,K,
2000151,8.75,9,7.8,5,6.75,8.75,7.68,TB,
2000152,7,7.2,4.2,5.25,7,8,6.44,TB,
