Code,Nguvan,Toan,Ngoaingu,Mon 1,Mon 2,Mon 3, TB ,Xep Loai
2000001,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.34 ,TB
2000002,>=7,>=7,>=7,>=7,>=7,>=7, 7.62 ,K
2000003,"[6,7)","[6,7)","[6,7)","[1,6)",>=7,>=7, 6.72 ,TB
2000004,>=7,"[6,7)",>=7,"[6,7)",>=7,>=7, 7.51 ,K
2000005,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.89 ,K
2000006,>=7,"[6,7)","[1,6)","[6,7)","[6,7)",>=7, 6.77 ,TB
2000007,"[1,6)",>=7,>=7,>=7,>=7,>=7, 7.66 ,TB
2000008,>=7,>=7,>=7,>=7,>=7,>=7, 8.02 ,G
2000009,"[6,7)",>=7,>=7,"[1,6)","[6,7)",>=7, 6.71 ,TB
2000010,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.55 ,TB
2000011,>=7,>=7,"[6,7)","[6,7)",>=7,>=7, 7.09 ,K
2000012,>=7,>=7,"[6,7)","[1,6)","[1,6)",>=7, 6.77 ,TB
2000013,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.36 ,TB
2000014,>=7,>=7,>=7,>=7,>=7,>=7, 7.44 ,K
2000015,"[1,6)","[6,7)","[1,6)","[1,6)",>=7,>=7, 5.93 ,TB
2000016,"[1,6)",>=7,"[1,6)","[1,6)","[1,6)",>=7, 5.99 ,TB
2000017,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.31 ,K
2000018,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.28 ,TB
2000019,>=7,"[6,7)","[6,7)","[1,6)","[1,6)","[6,7)", 5.97 ,TB
2000020,>=7,>=7,"[6,7)","[6,7)","[6,7)",>=7, 7.42 ,K
2000021,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 6.50 ,TB
2000022,"[6,7)","[6,7)",>=7,"[6,7)",>=7,>=7, 7.58 ,K
2000023,"[6,7)",>=7,"[6,7)","[6,7)","[6,7)",>=7, 6.70 ,K
