Age,Gender,MaritalStatus,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,PerformanceRating,PerformanceResult
Main labor group,Male,Single,3,Marketing,Sales Executive,4,4,2,10,7,3,Meet Expectation
Middle-aged labor group,Male,Single,4,Marketing,Sales Executive,4,4,3,20,7,3,Meet Expectation
Main labor group,Male,Married,4,Life Sciences,Sales Executive,4,3,3,20,13,4,Exceed Expectation
Middle-aged labor group,Male,Divorced,4,Human Resources,Manager,2,2,2,23,6,3,Meet Expectation
Old labor group,Male,Single,4,Marketing,Sales Executive,1,4,3,10,2,3,Meet Expectation
Main labor group,Male,Divorced,2,Life Sciences,Developer,4,3,2,9,7,4,Exceed Expectation
Middle-aged labor group,Male,Married,4,Marketing,Sales Representative,4,4,3,4,2,3,Meet Expectation
Main labor group,Female,Single,2,Life Sciences,Developer,1,4,3,10,7,3,Meet Expectation
Main labor group,Female,Married,3,Life Sciences,Developer,1,1,3,10,7,3,Meet Expectation
Main labor group,Female,Single,3,Life Sciences,Developer,3,4,4,10,0,3,Meet Expectation
Middle-aged labor group,Male,Single,3,Medical,Developer,1,3,3,9,2,3,Meet Expectation
Middle-aged labor group,Female,Divorced,3,Medical,Sales Executive,4,4,2,28,2,3,Meet Expectation
Main labor group,Male,Divorced,5,Marketing,Sales Executive,3,4,2,10,7,4,Exceed Expectation
Main labor group,Male,Single,3,Life Sciences,Sales Representative,3,3,3,1,0,3,Meet Expectation
Middle-aged labor group,Male,Divorced,3,Medical,Developer,3,4,3,7,2,3,Meet Expectation
Main labor group,Female,Single,2,Medical,Developer,2,4,3,10,1,3,Meet Expectation
Main labor group,Female,Married,3,Human Resources,Human Resources,3,3,1,12,3,3,Meet Expectation
Old labor group,Male,Married,3,Medical,Developer,3,3,2,30,7,3,Meet Expectation
Main labor group,Female,Single,1,Medical,Developer,4,4,2,5,2,4,Exceed Expectation
Main labor group,Female,Single,3,Medical,Developer,4,1,1,9,6,3,Meet Expectation
Main labor group,Male,Divorced,3,Marketing,Sales Representative,4,4,3,2,2,3,Meet Expectation
Old labor group,Male,Single,3,Life Sciences,Developer,4,4,3,19,2,3,Meet Expectation
Main labor group,Female,Divorced,4,Life Sciences,Senior Developer,4,1,4,16,0,3,Meet Expectation
Main labor group,Male,Married,4,Life Sciences,Developer,1,4,3,10,8,3,Meet Expectation
